County,Connected Counties,,,,,,,
Highland,Clinton,Fayette,Ross,Pike,Adams,Brown,,
Hocking,Fairfield,Perry,Athens,Vinton,Ross,Pickaway,,
Holmes,Wayne,Stark,Tuscarawas,Coshocton,Knox,Ashland,,
Huron,Erie,Lorain,Ashland,Richland,Crawford,Seneca,Sandusky,
Jackson,Vinton,Gallia,Lawrence,Scioto,Pike,Ross,,
Jefferson,Columbiana,Carroll,Harrison,Belmont,,,,
Knox,Richland,Ashland,Holmes,Coshocton,Licking,Delaware,Morrow,
Lake,Cuyahoga,Geauga,Ashtabula,,,,,
Lawrence,Scioto,Jackson,Gallia,,,,,
Licking,Knox,Coshocton,Muskingum,Perry,Fairfield,Franklin,Delaware,
Logan,Hardin,Union,Champaign,Shelby,Auglaize,,,
Lorain,Erie,Huron,Ashland,Medina,Cuyahoga,,,
Lucas,Fulton,Henry,Wood,Ottawa,,,,
Madison,Union,Franklin,Pickaway,Fayette,Greene,Clark,Champaign,
Mahoning,Trumbull,Portage,Stark,Columbiana,,,,
Marion,Wyandot,Crawford,Morrow,Delaware,Union,Hardin,,
Medina,Lorain,Cuyahoga,Summit,Wayne,Ashland,,,
Meigs,Athens,Vinton,Gallia,,,,,
Mercer,Van Wert,Auglaize,Darke,,,,,
Miami,Darke,Shelby,Champaign,Clark,Montgomery,,,
Monroe,Belmont,Noble,Washington,,,,,
Montgomery,Miami,Clark,Greene,Warren,Butler,Preble,Darke,
Morgan,Muskingum,Noble,Washington,Athens,Perry,,,
Morrow,Knox,Delaware,Marion,Crawford,Richland,,,
Muskingum,Coshocton,Guernsey,Noble,Morgan,Perry,Licking,,
Noble,Muskingum,Guernsey,Belmont,Monroe,Washington,Morgan,,
Ottawa,Lucas,Wood,Sandusky,,,,,
Paulding,Defiance,Putnam,Van Wert,,,,,
Perry,Licking,Muskingum,Morgan,Athens,Hocking,Fairfield,,
Pickaway,Franklin,Fairfield,Hocking,Ross,Fayette,Madison,,
Pike,Ross,Jackson,Scioto,Adams,Highland,,,
Portage,Geauga,Trumbull,Mahoning,Stark,Summit,,,
Preble,Darke,Montgomery,Butler,,,,,
Putnam,Henry,Hancock,Allen,Van Wert,Paulding,Defiance,,
Richland,Huron,Ashland,Knox,Morrow,Crawford,,,
Ross,Pickaway,Hocking,Vinton,Jackson,Pike,Highland,Fayette,
Sandusky,Ottawa,Erie,Huron,Seneca,Wood,,,
Scioto,Adams,Pike,Jackson,Lawrence,,,,
Seneca,Sandusky,Huron,Crawford,Wyandot,Hancock,Wood,,
Shelby,Auglaize,Logan,Champaign,Miami,Darke,,,
Stark,Summit,Portage,Mahoning,Columbiana,Carroll,Tuscarawas,Holmes,Wayne
Summit,Cuyahoga,Portage,Stark,Wayne,Medina,,,
Trumbull,Ashtabula,Geauga,Portage,Mahoning,,,,
Tuscarawas,Stark,Carroll,Harrison,Guernsey,Coshocton,Holmes,,
Union,Marion,Delaware,Franklin,Madison,Champaign,Logan,Hardin,
Van Wert,Paulding,Putnam,Allen,Auglaize,Mercer,,,
Vinton,Hocking,Athens,Meigs,Gallia,Jackson,Ross,,
Warren,Montgomery,Greene,Clinton,Clermont,Hamilton,Butler,,
Washington,Noble,Monroe,Morgan,Athens,,,,
Wayne,Medina,Summit,Stark,Holmes,Ashland,,,
Williams,Fulton,Henry,Defiance,,,,,
Wood,Lucas,Ottawa,Sandusky,Seneca,Hancock,Henry,,
Wyandot,Seneca,Crawford,Marion,Hardin,Hancock,,,
